artist;song;duration_ms;year;tempo;genre;energy;key;loudness
AJ Tracey;Ladbroke Grove;190537;2019;133.986;hip hop, Dance/Electronic;0.839;11;-9.447
Rixton;Me And My Broken Heart;193733;2014;174.084;pop;0.783;5;-4.261
Lil Dicky;Freaky Friday (feat. Chris Brown);216631;2018;133.123;hip hop, pop;0.599;8;-5.042
Paloma Faith;Only Love Can Hurt Like This;232893;2014;90.99;pop, R&B, Dance/Electronic;0.885;8;-4.528
Yolanda Be Cool;We No Speak Americano (JT Radio Edit);157438;2010;124.996;Dance/Electronic;0.805;6;-5.005
Sam Smith;Stay With Me;172723;2014;84.094;pop;0.42;0;-6.444
Christina Aguilera;Can't Hold Us Down (feat. Lil' Kim);255266;2002;98.989;pop;0.658;8;-4.481
Debelah Morgan;Dance with Me;220106;2000;115.005;pop, R&B;0.674;7;-7.981
Olly Murs;Up (feat. Demi Lovato);224293;2014;114.948;pop, Dance/Electronic;0.845;9;-4.676
Duffy;Mercy;219920;2008;129.911;pop, R&B;0.859;0;-3.774
Keyshia Cole;Love;255333;2005;116.714;hip hop, pop, R&B;0.519;5;-4.285
Mariah Carey;Loverboy;229173;2001;103.141;pop, R&B;0.79;1;-4.125
50 Cent;Ayo Technology;247946;2007;140.144;hip hop, pop;0.782;8;-5.44
Axwell /\ Ingrosso;More Than You Know;203000;2017;123.07;pop, Dance/Electronic;0.741;5;-4.989
Loud Luxury;Body (feat. brando);163216;2017;121.958;pop, Dance/Electronic;0.764;1;-4.399
Astrid S;Hurts So Good;208728;2016;120.036;rock, pop, Dance/Electronic;0.589;7;-5.008
Sheppard;Geronimo;218227;2014;142.016;pop, rock, Dance/Electronic;0.771;7;-6.275
Fergie;Big Girls Don't Cry (Personal);268120;2006;113.082;pop, R&B;0.641;7;-4.296
SAYGRACE;You Don't Own Me (feat. G-Eazy);199314;2015;186.394;pop, R&B;0.664;7;-5.68
Sam Smith;"Writing's On The Wall - From ""Spectre"" Soundtrack";278987;2015;81.418;pop;0.302;5;-8.19
Tory Lanez;LUV;228640;2016;95.109;hip hop, pop, R&B;0.541;11;-8.128
Bryson Tiller;Exchange;194613;2015;160.108;hip hop, pop, R&B;0.433;6;-10.598
Blue;If You Come Back;207560;2001;78.375;pop;0.707;10;-4.487
Rihanna;Bitch Better Have My Money;219305;2015;102.99;hip hop, pop, R&B;0.728;1;-4.981
P!nk;Get the Party Started;192533;2001;128.93;pop;0.903;11;-3.267
Miley Cyrus;Can't Be Tamed;168213;2010;116.98;pop;0.91;11;-2.919
Dr. Dre;The Next Episode;161506;1999;95.295;hip hop;0.909;10;-2.429
Nelly;My Place;336506;2004;163.153;hip hop, pop, R&B;0.641;1;-4.237
P!nk;Who Knew;208493;2006;140.004;pop;0.734;9;-4.569
Bruno Mars;When I Was Your Man;213826;2012;72.795;pop;0.28;0;-8.648
Eminem;Berzerk;238746;2013;95.084;hip hop;0.872;11;-4.059
Ciara;Goodies (feat. Petey Pablo);223000;2004;102.017;pop, R&B;0.647;5;-6.306
The Game;Hate It Or Love It;206400;2005;99.998;hip hop, pop;0.785;9;-4.781
Coldplay;Paradise;278719;2011;139.631;rock, pop;0.585;5;-6.761
Billie Eilish;lovely (with Khalid);200185;2018;115.284;pop, Dance/Electronic;0.296;4;-10.109
Girls Aloud;Something Kinda Ooooh;201590;2012;131.925;pop, Dance/Electronic;0.908;11;-3.918
Burak Yeter;Tuesday (feat. Danelle Sandoval);241874;2016;99.002;Dance/Electronic;0.639;9;-6.052
P!nk;So What;215160;2008;126.019;pop;0.87;11;-3.078
Chris Brown;Yo (Excuse Me Miss);229040;2005;86.768;hip hop, pop, R&B;0.612;4;-5.847
Ne-Yo;Miss Independent;232000;2008;171.812;pop, R&B;0.673;1;-5.714
Fall Out Boy;Thnks fr th Mmrs;203506;2007;154.837;rock;0.891;10;-5.057
Bad Bunny;MIA (feat. Drake);210367;2018;97.062;latin;0.539;6;-6.349
Ylvis;The Fox (What Does the Fox Say?);213708;2013;128.008;hip hop;0.867;6;-4.292
T.I.;Whatever You Like;249533;2008;150.053;hip hop, pop;0.687;9;-6.162
Keri Hilson;Pretty Girl Rock;243920;2010;160.014;pop, R&B;0.87;11;-5.004
Justin Timberlake;Mirrors;484146;2013;76.899;pop;0.512;5;-6.664
Nas;I Can;253720;2002;95.313;hip hop;0.885;6;-3.914
Mariah Carey;Thank God I Found You (feat. Joe & 98°);257360;1999;129.297;pop, R&B;0.532;10;-5.882
Drake;Take Care;277386;2011;121.845;hip hop, pop, R&B;0.515;0;-10.358
Dizzee Rascal;Holiday;220626;2011;117.985;hip hop, pop, Dance/Electronic;0.918;0;-1.925
Britney Spears;Gimme More;251240;2007;113.324;pop;0.844;2;-3.131
Eric Prydz;Pjanoo - Radio Edit;157432;2008;125.99;pop, Dance/Electronic;0.874;7;-4.949
Sting;Desert Rose;285960;1999;111.989;rock, pop;0.659;0;-7.92
Plies;Hypnotized (feat. Akon);188493;2007;116.59;hip hop, pop, R&B;0.571;10;-7.421
Gabrielle;Rise;219093;2001;144.673;pop, R&B;0.481;8;-9.487
Gnarls Barkley;Crazy;177466;2006;111.97;hip hop, R&B;0.587;8;-4.589
DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B);212500;2018;95.881;hip hop, pop, Dance/Electronic;0.801;8;-4.167
PARTYNEXTDOOR;Not Nice;202661;2016;128.06;hip hop, pop, R&B;0.496;0;-9.309
Westlife;My Love;231760;2000;144.142;pop;0.593;0;-5.975
Dua Lipa;IDGAF;217946;2017;97.028;pop;0.544;7;-5.975
G-Eazy;Me, Myself & I;251466;2015;111.995;hip hop, pop;0.674;0;-6.518
Camila Cabello;Havana (feat. Young Thug);216896;2017;104.992;pop;0.517;7;-4.323
Twista;Overnight Celebrity;233360;2004;134.199;hip hop, pop, R&B;0.792;10;-5.435
Take That;Rule The World - Radio Edit;237760;2007;164.054;pop;0.774;2;-4.226
Armin van Buuren;This Is What It Feels Like;204360;2013;129.885;pop, Dance/Electronic;0.833;8;-5.217
Tim Berg;Seek Bromance - Avicii’s Vocal Edit;203960;2010;126.026;pop, Dance/Electronic;0.837;11;-2.552
Nickelback;Photograph;258920;2005;145.916;rock, metal;0.876;8;-3.756
Scissor Sisters;I Don't Feel Like Dancin';288360;2006;108.023;pop, rock, Dance/Electronic;0.923;7;-3.409
Post Malone;Congratulations;220293;2016;123.146;hip hop;0.804;6;-4.183
Faith Hill;Breathe;250546;1999;136.859;pop, country;0.496;7;-9.007
David Guetta;When Love Takes Over (feat. Kelly Rowland);191000;2010;129.967;hip hop, pop, Dance/Electronic;0.862;11;-4.614
Khia;My Neck, My Back (Lick It);222560;2015;102.072;pop, R&B;0.625;9;-4.234
Foo Fighters;The Pretender;269373;2007;172.984;rock, metal;0.959;9;-4.04
David Guetta;Without You (feat. Usher);208133;2012;127.884;hip hop, pop, Dance/Electronic;0.614;2;-3.727
Enrique Iglesias;Bailando - Spanish Version;243386;2014;90.949;pop, latin;0.792;7;-3.519
Jax Jones;Breathe;207629;2017;125.985;hip hop, pop, Dance/Electronic;0.744;11;-5.52
benny blanco;Eastside (with Halsey & Khalid);173799;2018;89.391;hip hop, pop;0.68;6;-7.648
Baby Bash;Suga Suga;239026;2003;82.331;hip hop, pop, R&B, latin;0.748;5;-3.041
Ariana Grande;7 rings;178626;2019;140.048;pop;0.317;1;-10.732
Future;Low Life (feat. The Weeknd);313546;2016;143.961;hip hop, pop;0.331;8;-7.789
Labrinth;Earthquake (feat. Tinie Tempah);274600;2012;153.071;pop;0.856;0;-3.966
Migos;Walk It Talk It;276147;2018;145.914;hip hop, pop;0.633;2;-5.145
Akon;Right Now (Na Na Na);240746;2008;137.982;pop;0.857;8;-4.194
O.T. Genasis;CoCo;239573;2014;119.906;hip hop, pop;0.628;8;-5.949
Marilyn Manson;Tainted Love;200426;2003;142.017;rock, metal;0.876;8;-7.779
Lil Jon;Snap Yo Fingers;274386;2006;82.038;hip hop, pop;0.757;8;-5.029
Adele;Hello;295502;2015;157.98;pop, R&B;0.431;5;-6.129
Maggie Lindemann;Pretty Girl - Cheat Codes X CADE Remix;193613;2017;121.03;rock, pop;0.868;7;-4.661
Asaf Avidan & the Mojos;One Day / Reckoning Song (Wankelmut Remix) [Radio Edit];212360;2012;119.012;pop;0.676;3;-6.366
Linkin Park;Numb;185586;2003;110.018;rock, metal;0.863;9;-4.153
Usher;More - RedOne Jimmy Joker Remix;219986;2010;125.083;hip hop, pop, R&B;0.893;7;-2.628
Red Hot Chili Peppers;Otherside;255373;1999;123.229;rock;0.795;0;-3.265
Mariah Carey;Touch My Body;204733;2008;78.502;pop, R&B;0.665;4;-7.736
AlunaGeorge;I'm In Control;209425;2016;104.013;pop, Dance/Electronic;0.847;11;-3.713
Two Door Cinema Club;What You Know;189693;2010;139.048;World/Traditional, rock, pop;0.753;6;-4.003
Taylor Swift;Look What You Made Me Do;211853;2017;128.07;pop;0.709;9;-6.471
D12;Purple Pills;304506;2001;125.25;hip hop, pop, rock;0.634;1;-5.941
T.I.;Live Your Life;338853;2008;159.841;hip hop, pop;0.862;11;-3.363
Jagged Edge;Where the Party At (feat. Nelly);232573;2001;129.491;hip hop, pop, R&B;0.661;5;-6.239
Years & Years;Shine;255506;2015;108.002;pop, Dance/Electronic;0.716;1;-5.21
Disclosure;White Noise;277687;2013;119.978;pop, Dance/Electronic;0.844;10;-6.164
Avril Lavigne;Don't Tell Me;202013;2004;144.106;pop;0.795;4;-2.92
Bodyrockers;I Like The Way - Radio Edit;200053;2005;127.988;rock, Dance/Electronic;0.851;6;-3.638
The Pussycat Dolls;Stickwitu;207506;2005;79.918;pop, R&B;0.554;9;-6.408
Beyoncé;Sweet Dreams;208066;2008;121.949;pop, R&B;0.825;1;-5.986
Tom Walker;Leave a Light On;185863;2017;68.976;rock, pop;0.624;5;-5.946
G-Unit;Wanna Get To Know You;265026;2003;76.91;hip hop, pop;0.826;10;-3.651
Panic! At The Disco;I Write Sins Not Tragedies;185586;2005;169.961;rock;0.815;9;-4.481
JLS;Everybody in Love;195586;2013;140.022;pop;0.783;5;-5.971
P!nk;Try;247906;2012;103.998;pop;0.628;2;-7.079
Evanescence;My Immortal;262533;2003;79.012;metal;0.265;9;-9.206
Chip;Champion (feat. Chris Brown);237293;2011;190.151;hip hop, Dance/Electronic;0.934;6;-2.914
Britney Spears;Me Against the Music (feat. Madonna) - LP Version / Video Mix;223773;2003;120.046;pop;0.836;6;-6.635
Destiny's Child;Say My Name;271333;1999;138.009;pop, R&B;0.678;5;-3.525
Alicia Keys;No One;253813;2007;90.04;pop, R&B;0.549;1;-5.415
Faith Hill;There You'll Be;222120;2001;128.98;pop, country;0.511;8;-7.77
Bazzi;Mine;131064;2018;142.929;pop, Dance/Electronic;0.789;4;-3.874
*NSYNC;Gone;292000;2001;113.922;pop;0.403;11;-8.564
Kanye West;Through The Wire;221226;2004;83.089;hip hop;0.739;7;-6.11
Missy Elliott;Work It;263226;2002;101.868;hip hop, pop, R&B;0.677;1;-5.603
Drake;The Motto;181573;2011;201.8;hip hop, pop, R&B;0.442;1;-8.558
Franz Ferdinand;Do You Want To;215000;2005;123.091;rock;0.944;0;-2.896
Lady Gaga;Alejandro;274213;2009;98.998;pop;0.793;11;-6.63
Jonas Blue;Rise;194407;2018;106.046;pop, Dance/Electronic;0.785;1;-4.65
Ed Sheeran;Cross Me (feat. Chance the Rapper & PnB Rock);206186;2019;95.005;pop;0.787;4;-6.373
Alien Ant Farm;Smooth Criminal;209266;2001;126.928;rock, metal;0.964;9;-4.261
B Young;Jumanji;173153;2018;95.948;hip hop, Dance/Electronic;0.473;10;-9.86
Black Eyed Peas;Meet Me Halfway;284373;2009;130.0;hip hop, pop;0.629;11;-6.857
Lady Gaga;Shallow;215733;2018;95.799;pop;0.385;7;-6.362
Ashlee Simpson;Pieces Of Me;217440;2004;174.001;pop;0.799;2;-4.286
Calvin Harris;Summer;224506;2014;127.962;hip hop, pop, Dance/Electronic;0.861;4;-3.565
OneRepublic;Secrets;224693;2009;148.021;pop;0.764;2;-6.223
Sugababes;Hole In The Head;218173;2003;125.011;pop, R&B;0.933;6;-4.629
Usher;Hey Daddy (Daddy's Home);224093;2010;95.975;hip hop, pop, R&B;0.698;11;-4.262
Example;Kickstarts;181826;2010;126.056;pop, Dance/Electronic;0.836;5;-4.455
Shakira;Underneath Your Clothes;224066;2001;165.508;pop, latin;0.597;8;-5.328
Britney Spears;Break the Ice;196053;2007;117.533;pop;0.911;5;-3.866
Train;Drive By;195973;2012;122.028;pop;0.837;1;-3.113
M.O.P.;Cold as Ice;244466;2000;85.565;hip hop;0.88;11;-5.425
Plies;Bust It Baby, Pt. 2 (feat. Ne-Yo);240760;2008;78.946;hip hop, pop, R&B;0.801;5;-7.24
Frank Ocean;Pink + White;184516;2016;159.738;hip hop, pop, R&B;0.552;9;-7.45
Maroon 5;Maps;189840;2014;120.003;pop;0.723;1;-5.51
6ix9ine;FEFE;179404;2018;125.978;hip hop;0.387;1;-9.127
Dirty Vegas;Days Go By;432146;2002;126.99;Dance/Electronic;0.853;9;-8.274
Anne-Marie;Ciao Adios;200104;2017;106.083;pop, Dance/Electronic;0.882;4;-3.078
50 Cent;21 Questions;224440;2003;92.729;hip hop, pop;0.813;6;-3.846
Scouting For Girls;This Ain't a Love Song;210680;2017;176.667;pop, rock;0.905;0;-4.157
Blake Shelton;Sure Be Cool If You Did;215720;2013;136.802;country;0.726;11;-4.625
Katy Perry;E.T.;229573;2012;151.684;pop;0.869;1;-5.252
Destiny's Child;Cater 2 U;245400;2004;125.802;pop, R&B;0.584;11;-7.043
Destiny's Child;Soldier (feat. T.I. & Lil' Wayne);325573;2004;77.49;pop, R&B;0.417;7;-6.799
Tones And I;Dance Monkey;209438;2019;98.027;pop;0.588;6;-6.4
Emeli Sandé;Read All About It, Pt. III;283706;2012;98.082;pop, R&B;0.44;2;-7.186
Eminem;Sing For The Moment;339546;2002;163.961;hip hop;0.824;5;-4.164
Avril Lavigne;Nobody's Home;212413;2004;185.406;pop;0.907;5;-3.66
DJ Khaled;All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross);232506;2010;150.1;hip hop, pop;0.781;10;-3.616
Ariana Grande;One Last Time;197266;2014;125.026;pop;0.593;8;-5.036
Dua Lipa;Hotter Than Hell;187957;2017;110.127;pop;0.868;3;-4.23
Drake;In My Feelings;217925;2018;91.03;hip hop, pop, R&B;0.626;1;-5.833
Akon;Beautiful;312986;2008;130.015;pop;0.945;0;-4.442
Orson;No Tomorrow;167493;2006;124.082;pop;0.624;3;-4.623
